PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,PA,,KAA,No aplica,,1510,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,119,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,152,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,6,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,5,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,3,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,5,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,5,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,29029,1,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,No aplica,,999,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,19,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,10,KAA
ASAMBLEA POPULAR,PA,,KAA,No aplica,,1326,2,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,538,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,7,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,7,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11303,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,5,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,529,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,8,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2229,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,2,KAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,PA,,KAA,No aplica,,187,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,4,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,10,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,33,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,23,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,72,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,251,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,1252,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,20004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,10,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,1,KAA
ASAMBLEA POPULAR,PA,,KAA,No aplica,,1326,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,5,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,10,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,538,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,14,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,13,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11828,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,5,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,5,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,5,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2225,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2229,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,4,KAA
PARTIDO IDENTIDAD SOBERANA,PA,,KAA,No aplica,,18011,1,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,No aplica,,999,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,12,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,39,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,251,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,488,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,622,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2221,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,4044,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,20004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,11,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,3,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,271,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1510,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,119,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,10,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,10,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,13,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1929,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,1,KAA
PARTIDO BASTA YA,PA,,KAA,No aplica,,69,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,5,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,55,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,6,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,4,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2229,3,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,8,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,29029,1,KAA
PARTIDO IDENTIDAD SOBERANA,PA,,KAA,No aplica,,18011,1,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,No aplica,,999,6,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,4,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,18,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,31,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,33,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,30,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,5,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,72,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,251,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,712,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,1252,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,7,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2221,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,20004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,12,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,7,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,119,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,7,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,13,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1502,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,16,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11968,1,KAA
PARTIDO BASTA YA,PA,,KAA,No aplica,,69,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,19,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,55,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,4,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,5,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2225,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2229,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,2,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,No aplica,,999,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,4,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,23,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,27,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,72,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,622,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,1252,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,7,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,3,KAA
ASAMBLEA POPULAR,PA,,KAA,No aplica,,1326,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,710,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1510,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,119,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,8,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,10,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1441,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,7,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,13,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1929,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,15,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11303,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11828,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11968,1,KAA
PARTIDO BASTA YA,PA,,KAA,No aplica,,69,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,55,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,70,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2225,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,6,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,29029,1,KAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,PA,,KAA,No aplica,,187,3,KAA
PARTIDO IDENTIDAD SOBERANA,PA,,KAA,No aplica,,18011,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,18,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,31,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,33,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,46,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,5,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,251,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,488,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,1252,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,12,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,1,KAA
PARTIDO VERDE ANIMALISTA,PA,,KAA,No aplica,,410,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,271,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,8,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,11,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,20,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,15,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11828,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,319000,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,5,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,333,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,4,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2229,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,3,KAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,PA,,KAA,No aplica,,187,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,4,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,14,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,29,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,5,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,72,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,488,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,622,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,712,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,5,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,6,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,4,KAA
ASAMBLEA POPULAR,PA,,KAA,No aplica,,1326,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,710,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1510,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,119,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,10,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,9,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,7,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,6,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1502,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,21,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1929,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,11,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11303,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11828,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11968,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,5,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,19,3,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2225,3,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2229,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,4,KAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,PA,,KAA,No aplica,,187,2,KAA
PARTIDO IDENTIDAD SOBERANA,PA,,KAA,No aplica,,18011,4,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,No aplica,,999,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,16,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,29,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,54,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,251,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,5,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,8,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,6,KAA
PARTIDO VERDE ANIMALISTA,PA,,KAA,No aplica,,410,1,KAA
ASAMBLEA POPULAR,PA,,KAA,No aplica,,1326,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,119,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,152,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,7,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,538,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,13,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1441,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1502,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,16,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,14,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11303,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11828,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11968,3,KAA
PARTIDO BASTA YA,PA,,KAA,No aplica,,69,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,529,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,8,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2215,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2225,2,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2477,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,4,KAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,PA,,KAA,No aplica,,187,1,KAA
PARTIDO IDENTIDAD SOBERANA,PA,,KAA,No aplica,,18011,1,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,No aplica,,999,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,12,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,31,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,26,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,3,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,71,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,251,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,488,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2221,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,3014,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,20004,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,14,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,2,KAA
ASAMBLEA POPULAR,PA,,KAA,No aplica,,1326,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1510,1,KAA
CABILDO ABIERTO,PA,,KAA,No aplica,,1825,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,6,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,11,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,21,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,8,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11303,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11828,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11968,4,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,5,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,19,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,55,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,333,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,529,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1025,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,1525,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2215,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2225,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,2229,1,KAA
PARTIDO COLORADO,PA,,KAA,No aplica,,6000,3,KAA
PARTIDO IDENTIDAD SOBERANA,PA,,KAA,No aplica,,18011,1,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,No aplica,,999,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,4,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,22,18,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,31,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51,28,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,64,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,72,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,230,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,251,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,712,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,1252,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2004,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2021,2,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,2551,4,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,3014,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,24000,1,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,51404,8,KAA
PARTIDO NACIONAL,PA,,KAA,No aplica,,404404,3,KAA
PARTIDO VERDE ANIMALISTA,PA,,KAA,No aplica,,410,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,152,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,190,4,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,195,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,311,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,777,10,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,863,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1441,3,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1502,1,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1567,5,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,1609,25,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,2001,9,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,5006,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11303,2,KAA
FRENTE AMPLIO,PA,,KAA,No aplica,,11828,1,KAA
