PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,2,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,1820,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,800,4,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,8009,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,99000,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,49,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,5,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,3,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,1,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,25,8,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,1125,1,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,14600,1,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,85600,4,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,1815600,7,TAA
PARTIDO COLORADO,TA,,TAA,"VIERA DUARTE, Tabare",,152000,1,TAA
PARTIDO DEVOLUCIÓN,TA,,TAA,"PAIVA FIURES, Pablo Marcelo",,7005,1,TAA
PARTIDO INDEPENDIENTE,TA,,TAA,"MIERES GOMEZ, Pablo Andres",,80,1,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,5,33,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,40,1,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,55,2,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,404,4,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,3,TAA
PARTIDO NACIONAL,TA,,TAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,1,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,136,1,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,400,2,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,2004,3,TAA
ASAMBLEA POPULAR,TA,,TAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,326,1,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,2,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,1820,3,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,7001,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,5,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,567,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,800,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,4,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1358,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,76,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,77,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,7,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,9,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,3,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,25,12,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,1125,4,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,14600,6,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,22600,1,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,85600,4,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,1815600,2,TAA
PARTIDO DEVOLUCIÓN,TA,,TAA,"PAIVA FIURES, Pablo Marcelo",,7005,1,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,5,43,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,40,10,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,55,7,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,404,6,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,8880,1,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,232,1,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,TAA
PARTIDO NACIONAL,TA,,TAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,1,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,136,3,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,400,3,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,2004,1,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,3,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,800,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,8,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1358,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,2040,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,99000,1,TAA
FRENTE AMPLIO,TA,,TAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,49,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,76,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,77,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,11,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,949,2,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,2,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,25,17,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,1125,4,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,2600,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,14600,2,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,22600,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,85600,4,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,1815600,2,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,5,40,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,40,8,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,55,4,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,404,7,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,474,2,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,900,2,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,5,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,136,6,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,400,2,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,2004,3,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,2,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,1820,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,9,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,567,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,800,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,8,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1358,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,2040,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,5640,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,8008,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,99000,4,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,49,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,76,5,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,77,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,7,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,15,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,949,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1968,1,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,2,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,25,14,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,1125,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,2600,1,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,14600,2,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,22600,1,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,85600,1,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,1815600,8,TAA
PARTIDO COLORADO,TA,,TAA,"VIERA DUARTE, Tabare",,152000,4,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,5,30,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,40,6,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,55,10,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,404,6,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,474,1,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,900,3,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,8880,2,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,522,1,TAA
PARTIDO NACIONAL,TA,,TAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,2,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,136,8,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,400,10,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,2004,9,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,4,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,1820,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,8,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,545,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,800,4,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,8,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1358,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,2040,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,5640,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,8008,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,8009,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,9393,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,99000,1,TAA
FRENTE AMPLIO,TA,,TAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,8,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,9,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,1,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,1,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,25,19,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,1125,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,2600,2,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,14600,1,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,22600,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,85600,6,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,1815600,3,TAA
PARTIDO COLORADO,TA,,TAA,"VIERA DUARTE, Tabare",,152000,1,TAA
PARTIDO DEVOLUCIÓN,TA,,TAA,"PAIVA FIURES, Pablo Marcelo",,7005,3,TAA
PARTIDO INDEPENDIENTE,TA,,TAA,"MIERES GOMEZ, Pablo Andres",,80,1,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,5,38,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,40,6,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,55,4,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,404,13,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,474,2,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,900,4,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,9,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,136,10,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,400,4,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,2004,3,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,5,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,7001,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,8,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,9,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,2040,6,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,8008,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,9393,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,99000,1,TAA
FRENTE AMPLIO,TA,,TAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,49,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,76,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,77,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,12,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,17,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,949,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,1,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,2,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,25,21,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,1125,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,2600,4,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,14600,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,22600,6,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,85600,5,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,1815600,4,TAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,TA,,TAA,"LUST HITTA, Eduardo Manuel",,1187,1,TAA
PARTIDO INDEPENDIENTE,TA,,TAA,"MIERES GOMEZ, Pablo Andres",,80,1,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,5,46,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,40,11,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,55,9,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,404,5,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,474,3,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,900,11,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,8880,2,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,6,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,136,9,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,400,4,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,2004,4,TAA
ASAMBLEA POPULAR,TA,,TAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,326,1,TAA
ASAMBLEA POPULAR,TA,,TAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,960,1,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,4,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,7001,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,6,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,800,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,817,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,9,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1358,5,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,2040,2,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,3311,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,99000,4,TAA
FRENTE AMPLIO,TA,,TAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,49,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,76,4,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,77,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,8,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,949,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,4,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,1,TAA
PARTIDO COLORADO,TA,,TAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,1,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,25,12,TAA
PARTIDO COLORADO,TA,,TAA,"OJEDA SPITZ, Andres",,1125,2,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,22600,4,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,85600,3,TAA
PARTIDO COLORADO,TA,,TAA,"SILVA GARCIA, Robert",,1815600,2,TAA
PARTIDO DEVOLUCIÓN,TA,,TAA,"PAIVA FIURES, Pablo Marcelo",,7005,2,TAA
PARTIDO INDEPENDIENTE,TA,,TAA,"MIERES GOMEZ, Pablo Andres",,80,2,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,5,49,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,40,10,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,55,5,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,151,2,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,404,11,TAA
PARTIDO NACIONAL,TA,,TAA,"DELGADO CERETTA, Alvaro Luis",,900,4,TAA
PARTIDO NACIONAL,TA,,TAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,6,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,136,8,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,400,3,TAA
PARTIDO NACIONAL,TA,,TAA,"RAFFO DEGEROMINI, Maria Laura",,2004,2,TAA
CABILDO ABIERTO,TA,,TAA,"MANINI STRATTA, Guido",,288,6,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,90,5,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,800,3,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1001,7,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,1358,4,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,2040,4,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,5640,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,9393,1,TAA
FRENTE AMPLIO,TA,,TAA,"COSSE GARRIDO, Ana Carolina",,99000,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,76,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,77,1,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,95,8,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,609,8,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,2,TAA
FRENTE AMPLIO,TA,,TAA,"ORSI MARTINEZ, Yamandu Ramon",,1968,1,TAA
