PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,4,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,5,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,5005,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,6,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,2,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,3,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,5,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,5,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,40,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,29,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,2,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,3024,3,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,150,1,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,3030,1,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,1769,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,2,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,3,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,8,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,2040,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,52,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,19,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,6,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,146,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,7,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,2,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,8,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,9,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,9007,2,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,6,QAA
PARTIDO COLORADO,FD,,QAA,"VIERA DUARTE, Tabare",,2000,3,QAA
PARTIDO INDEPENDIENTE,FD,,QAA,"MIERES GOMEZ, Pablo Andres",,909,3,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,40,2,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,49,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,7,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,150,3,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,3,QAA
PARTIDO NACIONAL,FD,,QAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,7,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,3030,1,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,6003,1,QAA
ASAMBLEA POPULAR,FD,,QAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,326,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,6,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,7,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,5,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,2040,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,3311,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,9393,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,99000,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,3,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,19,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,6,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,7,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,6,QAA
PARTIDO COLORADO,FD,,QAA,"ACHE BATLLE, Carolina",,919,2,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,6,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,11,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,9007,2,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,6,QAA
PARTIDO COLORADO,FD,,QAA,"VIERA DUARTE, Tabare",,2000,2,QAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,FD,,QAA,"VEGA ERRAMUSPE, Cesar Enrique",,1330,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,40,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,40,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,5,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,3024,1,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,150,3,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,QAA
PARTIDO NACIONAL,FD,,QAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,1,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,3,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,3030,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,6003,4,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,1769,2,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,6,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,6,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,4,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,3311,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,5640,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,17,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,6,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,146,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,10,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,1,QAA
PARTIDO COLORADO,FD,,QAA,"ACHE BATLLE, Carolina",,919,1,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,10,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,7,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,9007,1,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,5,QAA
PARTIDO COLORADO,FD,,QAA,"VIERA DUARTE, Tabare",,111,1,QAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,FD,,QAA,"LUST HITTA, Eduardo Manuel",,1187,1,QAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,FD,,QAA,"VEGA ERRAMUSPE, Cesar Enrique",,696,1,QAA
PARTIDO INDEPENDIENTE,FD,,QAA,"MIERES GOMEZ, Pablo Andres",,909,2,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,48,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,555,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,8,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,3024,1,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,3,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,1,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,6003,6,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,1769,3,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,4,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,567,2,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,4,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1303,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,8,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,5005,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,41090,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,99000,1,QAA
FRENTE AMPLIO,FD,,QAA,"LIMA PROSERPIO, Andrés Pablo",,319,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,4,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,25,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,146,4,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,16,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,3,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,8,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,13,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,9007,2,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,10,QAA
PARTIDO COLORADO,FD,,QAA,"VIERA DUARTE, Tabare",,2000,1,QAA
PARTIDO IDENTIDAD SOBERANA,FD,,QAA,"SALLE LORIER, Gustavo Alberto",,18010,1,QAA
PARTIDO INDEPENDIENTE,FD,,QAA,"MIERES GOMEZ, Pablo Andres",,909,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,35,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,9,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,3024,1,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,150,4,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,6,QAA
PARTIDO NACIONAL,FD,,QAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,6,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,3030,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,6003,9,QAA
PARTIDO VERDE ANIMALISTA,FD,,QAA,"RODRIGUEZ GONZALEZ, Rita Mercedes",,409,2,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,1769,4,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,8,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,8,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,2040,2,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,3311,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,41090,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,52,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,27,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,7,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,146,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,16,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,4,QAA
PARTIDO COLORADO,FD,,QAA,"ACHE BATLLE, Carolina",,919,1,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,7,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,6,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,3,QAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,FD,,QAA,"VEGA ERRAMUSPE, Cesar Enrique",,1330,1,QAA
PARTIDO IDENTIDAD SOBERANA,FD,,QAA,"SALLE LORIER, Gustavo Alberto",,18010,1,QAA
PARTIDO INDEPENDIENTE,FD,,QAA,"MIERES GOMEZ, Pablo Andres",,909,2,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,40,5,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,43,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,8,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,3024,2,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,150,3,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,8,QAA
PARTIDO NACIONAL,FD,,QAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,8,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,6003,9,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,1769,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,3,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,11,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,3,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,3311,1,QAA
FRENTE AMPLIO,FD,,QAA,"LIMA PROSERPIO, Andrés Pablo",,319,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,52,2,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,22,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,13,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,624,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,5,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,8,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,3,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,5,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,9007,2,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,4,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,40,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,38,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,9,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,150,7,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,7,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,3,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,3030,1,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,6003,5,QAA
ASAMBLEA POPULAR,FD,,QAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,1917,1,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,1769,4,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,7001,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,3,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,5,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1303,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,10,QAA
FRENTE AMPLIO,FD,,QAA,"LIMA PROSERPIO, Andrés Pablo",,319,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,6,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,52,3,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,26,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,146,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,16,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,711,3,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,3,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,8,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,12,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,9007,3,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,8,QAA
PARTIDO COLORADO,FD,,QAA,"VIERA DUARTE, Tabare",,2000,2,QAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,FD,,QAA,"VEGA ERRAMUSPE, Cesar Enrique",,1330,1,QAA
PARTIDO IDENTIDAD SOBERANA,FD,,QAA,"SALLE LORIER, Gustavo Alberto",,18010,1,QAA
PARTIDO INDEPENDIENTE,FD,,QAA,"MIERES GOMEZ, Pablo Andres",,909,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,40,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,46,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,555,1,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,1400,14,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,3024,4,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,150,5,QAA
PARTIDO NACIONAL,FD,,QAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,7,QAA
PARTIDO NACIONAL,FD,,QAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,1,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,46,2,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,3030,1,QAA
PARTIDO NACIONAL,FD,,QAA,"RAFFO DEGEROMINI, Maria Laura",,6003,7,QAA
PARTIDO VERDE ANIMALISTA,FD,,QAA,"RODRIGUEZ GONZALEZ, Rita Mercedes",,409,1,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,1769,1,QAA
CABILDO ABIERTO,FD,,QAA,"MANINI STRATTA, Guido",,7001,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,90,2,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,567,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1001,6,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1303,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,1358,10,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,5005,2,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,8008,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,9393,1,QAA
FRENTE AMPLIO,FD,,QAA,"COSSE GARRIDO, Ana Carolina",,99000,1,QAA
FRENTE AMPLIO,FD,,QAA,"LIMA PROSERPIO, Andrés Pablo",,319,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,9,5,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,77,42,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,95,5,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,146,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,609,11,QAA
FRENTE AMPLIO,FD,,QAA,"ORSI MARTINEZ, Yamandu Ramon",,949,9,QAA
PARTIDO COLORADO,FD,,QAA,"ACHE BATLLE, Carolina",,919,1,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,22,10,QAA
PARTIDO COLORADO,FD,,QAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,25,5,QAA
PARTIDO COLORADO,FD,,QAA,"OJEDA SPITZ, Andres",,9007,1,QAA
PARTIDO COLORADO,FD,,QAA,"SILVA GARCIA, Robert",,600,8,QAA
PARTIDO COLORADO,FD,,QAA,"VIERA DUARTE, Tabare",,111,1,QAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,FD,,QAA,"VEGA ERRAMUSPE, Cesar Enrique",,696,2,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,40,2,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,62,35,QAA
PARTIDO NACIONAL,FD,,QAA,"DELGADO CERETTA, Alvaro Luis",,555,2,QAA
