PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
ASAMBLEA POPULAR,MO,,AAA,No aplica,,969,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,2701,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,10,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,16,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,13,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,9,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,18081,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,20040,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,319000,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,3,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,6600,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,3,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,8181,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,29029,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,10200010,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,11,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,60,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,9,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,5,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,1022,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,1252,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2250,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,12004,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,8,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,20042004,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,1829,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,2525,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,8,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1933,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,4,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,6,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,3600,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11968,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,18081,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,20040,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,4,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,290,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,16000,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,17000,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,136600,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,158,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,6,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,500,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2504,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,5,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,20042004,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,2525,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,176,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,8,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,10,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1929,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1933,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,6,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,18081,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,5,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,666,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,1225,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,4,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,115115,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,290000,1,AAA
PARTIDO INDEPENDIENTE,MO,,AAA,No aplica,,2026,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,11,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4022,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,4,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,47,3,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,1811,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,1829,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,176,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,5,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,813,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1606,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,16,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,6,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,14441,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,3,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,290,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,123015,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,185600,1,AAA
PARTIDO IDENTIDAD SOBERANA,MO,,AAA,No aplica,,18011,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,11,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,350,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,709,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,822,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2504,5,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,15151,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,4,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,47,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,48,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,710,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,4411,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,11881,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,510510,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,152,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,176,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,19,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1624,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,11,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,4,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,29099,1,AAA
PARTIDO IDENTIDAD SOBERANA,MO,,AAA,No aplica,,18011,1,AAA
PARTIDO INDEPENDIENTE,MO,,AAA,No aplica,,9909,1,AAA
PARTIDO LIBERTARIO,MO,,AAA,No aplica,,11989,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,11,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,350,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,4,AAA
ASAMBLEA POPULAR,MO,,AAA,No aplica,,9600,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,710,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,176,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,7,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1606,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,11,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1624,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,10,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11828,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,18081,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,20040,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,6,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,121,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,625,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,29305,1,AAA
PARTIDO INDEPENDIENTE,MO,,AAA,No aplica,,9909,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,158,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,5,AAA
ASAMBLEA POPULAR,MO,,AAA,No aplica,,1326,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,456,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,2525,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,152,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,14,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,4,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,5,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,5098,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11828,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,18081,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,6,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,1925,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,2902,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,6000,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,11600,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,136600,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,29000305,1,AAA
PARTIDO INDEPENDIENTE,MO,,AAA,No aplica,,1199,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,4,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,407,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2250,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2504,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,2,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,1829,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,2525,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,6,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,10,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,16,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,14441,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,6,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,185600,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,2900029,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,11,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,407,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2504,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,6,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,450,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,710,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,152,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,7,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,5,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,17,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,4,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,11,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,3600,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,18081,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,4,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,6600,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,185600,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,4,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,897,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,20,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,819,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,411411,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,152,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,176,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,5,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,7,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1606,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,9,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1624,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1929,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,10,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11828,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,14441,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,4,AAA
PARTIDO COALICIÓN REPUBLICANA,MO,,AAA,No aplica,,3004,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,8181,1,AAA
PARTIDO IDENTIDAD SOBERANA,MO,,AAA,No aplica,,18011,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,44,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,75,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,350,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,4,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2504,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,3,AAA
ASAMBLEA POPULAR,MO,,AAA,No aplica,,1326,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,450,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,4,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,13,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,4,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,10,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11828,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,20040,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,185600,1,AAA
PARTIDO IDENTIDAD SOBERANA,MO,,AAA,No aplica,,18011,1,AAA
PARTIDO INDEPENDIENTE,MO,,AAA,No aplica,,980,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,5,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,500,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,897,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2504,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,152,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,176,4,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,6,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,7,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1929,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,20,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,2,AAA
PARTIDO AVANZAR REPUBLICANO,MO,,AAA,No aplica,,947,1,AAA
PARTIDO BASTA YA,MO,,AAA,No aplica,,69,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,11,3,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,407,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,897,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,1100,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,20102,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,5,AAA
ASAMBLEA POPULAR,MO,,AAA,No aplica,,1326,2,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,48,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,1313,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,5,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1606,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,7,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1929,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,18,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,5098,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,18081,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,7,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,371,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,6600,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,12520,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,29305,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,136600,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,290000,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,2900029,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,4,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,11,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,60,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,400,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,555,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,897,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,2504,2,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,7171,1,AAA
PARTIDO NACIONAL,MO,,AAA,No aplica,,404404,2,AAA
ASAMBLEA POPULAR,MO,,AAA,No aplica,,1326,1,AAA
CABILDO ABIERTO,MO,,AAA,No aplica,,7077,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,119,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,176,2,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,190,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,195,10,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,777,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1609,15,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1711,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1939,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,1949,3,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,2001,8,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,3600,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11303,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,11828,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,199000,1,AAA
FRENTE AMPLIO,MO,,AAA,No aplica,,31150061567,4,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,305,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,1315,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,7009,2,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,12520,1,AAA
PARTIDO COLORADO,MO,,AAA,No aplica,,16000,1,AAA
